USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  1.5  0.9  26432 15860 ?        Ss   12:08   0:37 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
atharva     3316  0.0  0.3 168680  6696 ?        Sl   12:09   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
atharva     3352  0.0  0.7 658608 13808 ?        Sl   12:09   0:00 /usr/libexec/gnome-shell-calendar-server
atharva     3360  0.0  1.3 618736 23764 ?        Ssl  12:09   0:00 /usr/libexec/evolution-source-registry
atharva     3368  0.0  1.1 2746736 21140 ?       Sl   12:09   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
atharva     3391  0.7  0.4 396636  8440 ?        Ssl  12:09   0:16 /usr/bin/ibus-daemon --panel disable
atharva     3394  0.0  0.4 265020  7968 ?        Ssl  12:09   0:00 /usr/libexec/gsd-a11y-settings
atharva     3395  0.0  0.4 262852  7956 ?        Ssl  12:09   0:00 /usr/libexec/gsd-color
atharva     3397  0.0  0.5 271384  9196 ?        Ssl  12:09   0:00 /usr/libexec/gsd-datetime
atharva     3398  0.0  0.4 401992  8744 ?        Ssl  12:09   0:00 /usr/libexec/gsd-housekeeping
atharva     3400  0.0  0.4 394360  7276 ?        Ssl  12:09   0:00 /usr/libexec/gsd-keyboard
atharva     3401  0.0  0.5 571160 10144 ?        Ssl  12:09   0:00 /usr/libexec/gsd-media-keys
atharva     3404  0.0  0.5 404688  9032 ?        Ssl  12:09   0:00 /usr/libexec/gsd-power
atharva     3407  0.0  0.6 338848 10920 ?        Ssl  12:09   0:00 /usr/libexec/gsd-print-notifications
atharva     3410  0.0  0.4 468208  7320 ?        Ssl  12:09   0:00 /usr/libexec/gsd-rfkill
atharva     3411  0.0  0.3 181116  6576 ?        Ssl  12:09   0:00 /usr/libexec/gsd-screensaver-proxy
atharva     3412  0.0  0.5 478628 10524 ?        Ssl  12:09   0:00 /usr/libexec/gsd-sharing
atharva     3416  0.0  0.4 396936  7872 ?        Ssl  12:09   0:00 /usr/libexec/gsd-smartcard
atharva     3423  0.0  0.4 266168  8076 ?        Ssl  12:09   0:00 /usr/libexec/gsd-sound
atharva     3425  0.0  0.4 557164  7900 ?        Ssl  12:09   0:00 /usr/libexec/gsd-usb-protection
atharva     3426  0.0  0.5 401636  8944 ?        Ssl  12:09   0:00 /usr/libexec/gsd-wwan
atharva     3443  0.1  1.2 653256 22164 ?        Sl   12:09   0:03 /usr/bin/update-notifier
atharva     3447  0.0  2.0 850840 36768 ?        Sl   12:09   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
atharva     3452  0.0  0.4 312172  8340 ?        Sl   12:09   0:00 /usr/libexec/gsd-disk-utility-notify
atharva     3456  0.0  0.9 478056 16064 ?        Sl   12:09   0:00 /usr/libexec/goa-daemon
atharva     3542  0.0  0.4 254280  7556 ?        Sl   12:09   0:00 /usr/libexec/ibus-dconf
atharva     3543  0.2  1.3 509532 24208 ?        Sl   12:09   0:05 /usr/libexec/ibus-extension-gtk3
atharva     3560  0.0  0.4 319780  7504 ?        Sl   12:09   0:00 /usr/libexec/ibus-portal
atharva     3569  0.0  1.1 904624 19676 ?        Ssl  12:09   0:00 /usr/libexec/evolution-calendar-factory
atharva     3572  0.0  0.2  47748  3804 ?        Ss   12:09   0:01 /snap/snapd-desktop-integration/361/usr/bin/snapd-desktop-integration
atharva     3580  0.0  0.4 399216  8660 ?        Sl   12:09   0:00 /usr/libexec/goa-identity-service
atharva     3608  0.0  0.5 410760 10420 ?        Sl   12:09   0:00 /usr/libexec/gsd-printer
atharva     3621  0.1  1.4 814392 25836 ?        SNsl 12:09   0:03 /usr/libexec/localsearch-3
atharva     3623  0.0  1.0 640336 19052 ?        Ssl  12:09   0:01 /usr/libexec/xdg-desktop-portal
atharva     3630  0.0  1.2 2811332 21400 ?       Sl   12:09   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
atharva     3686  0.0  0.6 472020 11516 ?        Ssl  12:09   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
atharva     3689  0.0  1.6 838284 28356 ?        Ssl  12:09   0:01 /usr/libexec/xdg-desktop-portal-gnome
atharva     3699  0.0  1.3 763528 23588 ?        Ssl  12:09   0:00 /usr/libexec/evolution-addressbook-factory
atharva     3713  0.0  0.4 319164  7420 ?        Ssl  12:09   0:00 /usr/libexec/gvfs-mtp-volume-monitor
atharva     3740  0.0  0.5 401152  9396 ?        Ssl  12:09   0:01 /usr/libexec/gvfs-afc-volume-monitor
