USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  2.1  0.9  26040 17036 ?        Ss   17:28   0:05 /usr/lib/systemd/systemd --switched-root --system --deserialize=51 auto automatic-ubiquity noprompt
avahi       1215  0.0  0.0   6560  1652 ?        S    17:28   0:00 avahi-daemon: chroot helper
_chrony     1251  0.0  0.6  24392 11976 ?        S    17:28   0:00 /usr/sbin/chronyd -n -F 1
root        1256  0.1  1.2 347888 22124 ?        Ssl  17:28   0:00 /usr/sbin/NetworkManager --no-daemon
root        1257  0.0  0.4  17960  7140 ?        Ss   17:28   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1259  0.0  0.3 220604  6960 ?        Ssl  17:28   0:00 /usr/sbin/rsyslogd -n -iNONE
_chrony     1268  0.0  0.1  12120  3468 ?        S    17:28   0:00 /usr/sbin/chronyd -n -F 1
root        1301  0.1  0.8 391604 14240 ?        Ssl  17:28   0:00 /usr/sbin/ModemManager
root        1331  0.0  0.7  40752 13264 ?        Ss   17:28   0:00 /usr/sbin/cupsd -l
root        1354  0.1  1.8 137380 33084 ?        Ssl  17:28   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
lp          1360  0.0  0.4  15436  7344 ?        S    17:28   0:00 /usr/lib/cups/notifier/dbus dbus://
root        1361  0.0  0.4  10740  7804 ?        Ss   17:28   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
cups-br+    1367  0.0  1.3 207532 23100 ?        Ssl  17:28   0:00 /usr/sbin/cups-browsed
root        1389  0.0  0.6 395804 10692 ?        Ssl  17:28   0:00 /usr/sbin/gdm3
root        1582  0.0  0.6 183632 10608 ?        Sl   17:28   0:00 gdm-session-worker [pam/gdm-launch-environment]
gdm-gre+    1664  0.2  0.8  23064 14444 ?        Ss   17:28   0:00 /usr/lib/systemd/systemd --user
root        1666  0.0  0.0      0     0 ?        S    17:28   0:00 [psimon]
gdm-gre+    1676  0.0  0.2  23452  4236 ?        S    17:28   0:00 (sd-pam)
gdm-gre+    1828  0.0  0.3   9232  5936 ?        Ss   17:28   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm-gre+    1830  0.0  0.6 113728 12088 ?        S<sl 17:28   0:00 /usr/bin/pipewire
gdm-gre+    1845  0.0  0.3 179480  6856 tty1     Ssl+ 17:28   0:00 /usr/libexec/gdm-wayland-session gnome-session
rtkit       1859  0.0  0.2  21872  3704 ?        SNsl 17:28   0:00 /usr/libexec/rtkit-daemon
gdm-gre+    1861  0.0  0.2   7560  4124 ?        Ss   17:28   0:00 /usr/bin/mpris-proxy
gdm-gre+    1863  0.1  1.3 499268 22968 ?        S<sl 17:28   0:00 /usr/bin/wireplumber
gdm-gre+    1866  0.0  0.3  96616  6412 ?        Ssl  17:28   0:00 /usr/bin/pipewire -c filter-chain.conf
gdm-gre+    1867  0.0  0.7 117748 12392 ?        S<sl 17:28   0:00 /usr/bin/pipewire-pulse
gdm-gre+    1868  0.0  0.5 175204  9420 tty1     Sl+  17:28   0:00 /usr/libexec/gnome-session-init-worker gnome-login
root        1887  0.0  0.4 320428  7964 ?        Ssl  17:28   0:00 /usr/libexec/power-profiles-daemon
